AVG_TTR,MIN_AVG_TTR,Status,
6061,1503,BUSY,
6061,1503,BUSY,
6016,1221,BUSY,
6016,1221,BUSY,
6097,1236,BUSY,
6097,1236,BUSY,
6135,1231,BUSY,
6135,1231,BUSY,
3050,4807,BUSY,
3050,4807,BUSY,
1206,1204,FREE,
1220,1232,FREE,
4851,4710,BUSY,
4851,4710,BUSY,
1457,5100,BUSY,
1457,5100,BUSY,
1301,1246,FREE,
1190,1215,FREE,
7069,8937,BUSY,
7069,8937,BUSY,
6093,10868,OVERLOADED,
6093,10868,OVERLOADED,
6076,10980,OVERLOADED,
6076,10980,OVERLOADED,
6072,10939,OVERLOADED,
6072,10939,OVERLOADED,
10935,1235,OVERLOADED,
10935,1235,OVERLOADED,
10046,1196,OVERLOADED,
10046,1196,OVERLOADED,
10914,1945,OVERLOADED,
10914,1945,OVERLOADED,
9526,1205,OVERLOADED,
9526,1205,OVERLOADED,
7138,10402,OVERLOADED,
7138,10402,OVERLOADED,
5958,11003,OVERLOADED,
5958,11003,OVERLOADED,
1196,1199,FREE,
1198,1197,FREE,
1215,1208,FREE,
1200,1209,FREE,
1203,1194,FREE,
4132,5027,BUSY,
4132,5027,BUSY,
1735,5922,BUSY,
1735,5922,BUSY,
1704,5159,BUSY,
1704,5159,BUSY,
5533,1235,BUSY,
5533,1235,BUSY,
5522,1204,BUSY,
5522,1204,BUSY,
6022,1223,BUSY,
6022,1223,BUSY,
6308,1252,BUSY,
6308,1252,BUSY,
3615,5961,BUSY,
3615,5961,BUSY,
3522,5963,BUSY,
3522,5963,BUSY,
1294,1827,FREE,
4728,1565,BUSY,
4728,1565,BUSY,
4651,4717,BUSY,
4651,4717,BUSY,
4763,4637,BUSY,
4763,4637,BUSY,
4733,4717,BUSY,
4733,4717,BUSY,
2095,4682,BUSY,
2095,4682,BUSY,
1240,1253,FREE,
1240,1231,FREE,
1221,1250,FREE,
1217,1249,FREE,
1225,1236,FREE,
1223,1243,FREE,
1225,1211,FREE,
1226,1227,FREE,
1223,1228,FREE,
1222,1328,FREE,
1228,1229,FREE,
1245,1225,FREE,
1257,1454,FREE,
1228,1239,FREE,
1235,1852,FREE,
1370,1271,FREE,
1228,1232,FREE,
1242,1377,FREE,
1308,1230,FREE,
1222,1265,FREE,
1233,1244,FREE,
1224,1229,FREE,
1214,1228,FREE,
1227,1243,FREE,
1279,1370,FREE,
7167,7809,OVERLOADED,
7167,7809,OVERLOADED,
1877,1381,FREE,
1212,1246,FREE,
1297,1241,FREE,
1231,1249,FREE,
3707,6046,BUSY,
3707,6046,BUSY,
1749,6098,BUSY,
1749,6098,BUSY,
1722,6047,BUSY,
1722,6047,BUSY,
6136,1231,BUSY,
6136,1231,BUSY,
6136,1277,BUSY,
6136,1277,BUSY,
6152,1247,BUSY,
6152,1247,BUSY,
1718,6067,BUSY,
1718,6067,BUSY,
1706,4162,FREE,
2160,6917,BUSY,
2160,6917,BUSY,
7564,1590,BUSY,
7564,1590,BUSY,
1549,1306,FREE,
1517,1478,FREE,
1511,1528,FREE,
1542,1539,FREE,
1368,1518,FREE,
2810,11318,OVERLOADED,
2810,11318,OVERLOADED,
2785,10900,OVERLOADED,
2785,10900,OVERLOADED,
2645,13048,OVERLOADED,
2645,13048,OVERLOADED,
14587,1279,OVERLOADED,
14587,1279,OVERLOADED,
10195,1547,OVERLOADED,
10195,1547,OVERLOADED,
9688,1320,OVERLOADED,
9688,1320,OVERLOADED,
2557,10338,OVERLOADED,
2557,10338,OVERLOADED,
2377,9781,OVERLOADED,
2377,9781,OVERLOADED,
11260,1608,OVERLOADED,
11260,1608,OVERLOADED,
1632,1749,FREE,
1599,1590,FREE,
1598,1573,FREE,
1631,1564,FREE,
1623,1392,FREE,
11519,1621,OVERLOADED,
11519,1621,OVERLOADED,
